gameId,gameDate,homeTeamId,homeTeamName,homeTeamScore,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,roadTeamId,roadTeamName,roadTeamScore,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF
0020800002,2008-10-28,1610612741,CHI,108,35,69,5,12,33,44,14,26,27,9,6,18,18,1610612749,MIL,95,37,78,6,14,15,20,13,19,21,5,3,19,30
0020800003,2008-10-28,1610612747,LAL,96,37,79,7,10,15,18,9,40,19,8,7,15,17,1610612757,POR,76,29,84,10,24,8,14,13,31,19,8,3,12,17
0020800001,2008-10-28,1610612738,BOS,90,33,74,3,14,21,34,10,26,16,10,0,16,28,1610612739,CLE,85,29,68,3,15,24,33,8,33,16,8,2,21,26
0020800013,2008-10-29,1610612762,UTA,98,37,79,2,8,22,28,12,34,17,5,5,16,20,1610612743,DEN,94,36,77,4,13,18,28,7,28,17,12,3,13,27
0020800014,2008-10-29,1610612744,GSW,103,36,82,9,23,22,32,11,28,18,10,5,13,26,1610612740,NOH,108,41,82,7,17,19,27,8,34,23,8,6,13,24
0020800015,2008-10-29,1610612746,LAC,79,30,78,5,22,14,23,10,22,24,9,5,18,29,1610612747,LAL,117,41,80,10,19,25,33,14,37,28,7,3,16,19
0020800010,2008-10-29,1610612760,OKC,87,32,73,1,6,22,31,13,22,16,9,3,19,23,1610612749,MIL,98,35,76,7,18,21,26,14,29,17,7,4,19,22
0020800011,2008-10-29,1610612759,SAS,98,40,80,5,15,13,19,7,31,18,4,3,7,24,1610612756,PHX,103,39,79,6,15,19,27,9,30,24,5,5,10,20
0020800012,2008-10-29,1610612745,HOU,82,28,76,5,16,21,25,11,33,10,9,2,12,15,1610612763,MEM,71,31,81,0,13,9,13,15,34,11,7,6,16,22
0020800008,2008-10-29,1610612765,DET,100,40,91,6,13,14,16,14,27,23,11,8,14,21,1610612754,IND,94,33,67,4,12,24,29,5,33,18,7,8,21,20
0020800009,2008-10-29,1610612750,MIN,98,42,87,3,11,11,22,11,29,25,10,7,11,23,1610612758,SAC,96,36,80,5,17,19,25,9,36,22,2,8,15,20
0020800006,2008-10-29,1610612764,WAS,85,30,81,5,21,20,30,13,28,18,4,5,15,19,1610612751,NJN,95,37,78,6,19,15,18,5,32,22,7,9,9,23
0020800007,2008-10-29,1610612752,NYK,120,42,87,9,25,27,37,14,32,27,7,0,15,28,1610612748,MIA,115,42,92,6,23,25,33,13,34,22,8,2,14,26
0020800004,2008-10-29,1610612753,ORL,85,32,87,4,25,17,27,17,28,10,9,11,15,28,1610612737,ATL,99,38,86,5,20,18,31,18,35,17,10,7,14,23
0020800005,2008-10-29,1610612755,PHI,84,29,84,5,20,21,28,23,33,15,3,8,17,16,1610612761,TOR,95,36,81,10,16,13,17,10,23,24,8,5,9,23
0020800016,2008-10-30,1610612739,CLE,96,35,72,7,22,19,29,13,33,23,7,11,15,23,1610612766,CHA,79,25,74,3,12,26,31,14,20,16,6,4,13,24
0020800017,2008-10-30,1610612742,DAL,102,35,84,4,16,28,34,10,30,23,7,5,8,22,1610612745,HOU,112,38,79,7,14,29,32,8,37,23,5,3,10,23
0020800018,2008-10-30,1610612756,PHX,95,37,68,7,18,14,21,7,31,16,2,3,24,24,1610612740,NOH,108,37,78,13,24,21,28,10,23,16,10,5,10,15
0020800019,2008-10-31,1610612755,PHI,116,52,89,2,5,10,19,13,49,24,4,7,19,17,1610612752,NYK,87,32,98,7,28,16,21,16,27,19,13,1,10,15
0020800024,2008-10-31,1610612746,LAC,103,37,97,3,16,26,34,18,32,17,11,6,14,28,1610612743,DEN,113,38,85,3,13,34,40,15,45,19,6,10,18,24
0020800025,2008-10-31,1610612757,POR,100,38,82,6,17,18,24,13,24,17,11,5,6,18,1610612759,SAS,99,38,68,9,16,14,15,5,26,24,1,0,14,21
0020800022,2008-10-31,1610612738,BOS,96,32,73,2,8,30,39,9,40,15,8,7,20,27,1610612741,CHI,80,25,84,2,8,28,30,13,31,11,8,6,20,30
0020800023,2008-10-31,1610612763,MEM,86,30,76,2,13,24,30,8,34,11,6,7,10,23,1610612753,ORL,84,29,69,10,29,16,26,6,38,16,7,5,17,24
0020800020,2008-10-31,1610612761,TOR,112,40,78,6,12,26,30,6,30,24,9,9,13,18,1610612744,GSW,108,42,94,11,29,13,19,17,29,20,6,6,18,25
0020800021,2008-10-31,1610612748,MIA,103,38,81,8,17,19,32,13,29,21,15,8,14,18,1610612758,SAC,77,29,76,2,19,17,20,10,32,10,7,2,25,23
0020800026,2008-11-01,1610612737,ATL,95,39,91,8,25,9,11,14,27,21,11,5,9,13,1610612755,PHI,88,35,85,6,16,12,14,15,33,21,6,2,18,16
0020800027,2008-11-01,1610612766,CHA,100,37,69,5,10,21,32,12,29,25,4,5,20,24,1610612748,MIA,87,32,72,5,21,18,27,11,16,17,6,6,11,26
0020800028,2008-11-01,1610612754,IND,95,33,81,6,22,23,27,12,36,20,9,8,12,27,1610612738,BOS,79,27,78,4,20,21,35,17,35,15,8,5,24,25
0020800029,2008-11-01,1610612753,ORL,121,44,80,8,22,25,31,15,25,25,6,5,12,18,1610612758,SAC,103,39,74,5,15,20,24,6,22,21,5,5,12,24
0020800034,2008-11-01,1610612741,CHI,96,32,84,8,19,24,30,18,33,19,7,11,12,15,1610612763,MEM,86,32,75,3,6,19,26,10,33,13,6,4,16,26
0020800033,2008-11-01,1610612740,NOH,104,36,76,7,13,25,29,9,27,25,9,2,14,19,1610612739,CLE,92,36,75,9,22,11,19,7,29,21,5,4,17,24
