GameId,GameDate,HomeTeamId,Team,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,RoadTeamId,Team,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF
0021100001,2011-12-25,1610612752,NYK,106,35,74,9,20,27,34,8,23,17,9,11,16,25,1610612738,BOS,104,39,76,2,5,24,31,13,28,28,7,5,18,28
0021100004,2011-12-25,1610612760,OKC,97,34,72,10,19,19,26,7,36,21,8,5,16,22,1610612753,ORL,89,30,81,8,28,21,26,14,31,18,7,4,18,25
0021100005,2011-12-25,1610612744,GSW,86,32,82,5,21,17,24,17,31,17,4,8,16,32,1610612746,LAC,105,37,81,8,23,23,38,13,30,22,9,8,10,19
0021100002,2011-12-25,1610612742,DAL,94,31,82,9,28,23,30,8,23,23,10,0,17,29,1610612748,MIA,105,38,78,4,7,25,36,15,36,18,9,6,22,28
0021100003,2011-12-25,1610612747,LAL,87,36,76,4,16,11,20,12,30,22,6,8,17,20,1610612741,CHI,88,36,89,7,15,9,14,16,25,21,14,4,14,21
0021100012,2011-12-26,1610612742,DAL,93,32,76,8,27,21,27,5,32,19,11,3,19,28,1610612743,DEN,115,39,79,10,27,27,34,10,37,18,15,3,15,18
0021100011,2011-12-26,1610612750,MIN,100,39,87,3,22,19,26,10,30,22,4,2,12,24,1610612760,OKC,104,35,78,5,16,29,31,8,34,18,6,5,17,26
0021100010,2011-12-26,1610612754,IND,91,32,87,7,15,20,25,18,35,20,9,9,10,20,1610612765,DET,79,27,75,7,19,18,21,9,31,17,5,8,16,19
0021100008,2011-12-26,1610612753,ORL,104,44,83,9,22,7,10,6,29,19,1,4,11,15,1610612745,HOU,95,36,82,6,27,17,20,11,30,26,4,5,9,17
0021100009,2011-12-26,1610612739,CLE,96,35,85,6,20,20,28,15,22,21,7,1,7,16,1610612761,TOR,104,42,79,9,21,11,13,11,34,35,4,9,12,22
0021100006,2011-12-26,1610612764,WAS,84,31,74,1,7,21,34,8,31,13,8,7,11,17,1610612751,NJN,90,34,86,6,26,16,20,18,40,17,7,3,15,26
0021100007,2011-12-26,1610612766,CHA,96,38,86,4,19,16,21,15,37,27,3,6,16,20,1610612749,MIL,95,34,84,8,23,19,23,8,31,21,6,2,12,20
0021100017,2011-12-26,1610612744,GSW,99,36,77,4,15,23,31,7,29,22,16,5,10,19,1610612741,CHI,91,34,82,8,24,15,22,14,33,16,3,3,20,21
0021100013,2011-12-26,1610612759,SAS,95,35,88,10,33,15,22,12,25,23,13,5,13,20,1610612763,MEM,82,34,73,3,7,11,19,9,33,18,9,2,24,25
0021100014,2011-12-26,1610612756,PHX,84,32,81,5,25,15,19,12,33,23,9,3,14,24,1610612740,NOH,85,35,79,2,16,13,21,12,35,10,9,5,13,22
0021100015,2011-12-26,1610612758,SAC,100,35,75,9,18,21,35,10,30,16,4,6,11,19,1610612747,LAL,91,37,88,1,16,16,19,16,29,21,6,6,11,25
0021100016,2011-12-26,1610612757,POR,107,40,97,9,19,18,23,17,33,24,11,6,12,19,1610612755,PHI,103,40,83,8,19,15,19,9,38,21,6,7,20,25
0021100021,2011-12-27,1610612757,POR,101,38,85,3,18,22,28,15,29,25,6,8,10,23,1610612758,SAC,79,31,82,3,16,14,22,14,28,11,1,4,18,27
0021100020,2011-12-27,1610612749,MIL,98,40,94,2,16,16,20,16,29,24,13,5,12,28,1610612750,MIN,95,28,70,6,14,33,45,16,38,14,6,0,25,24
0021100022,2011-12-27,1610612747,LAL,96,30,71,6,16,30,37,11,35,17,8,9,9,21,1610612762,UTA,71,29,90,1,13,12,17,18,28,20,6,6,10,28
0021100018,2011-12-27,1610612751,NJN,70,22,71,5,24,21,26,9,27,9,5,5,18,22,1610612737,ATL,106,38,86,12,23,18,21,17,34,23,11,4,12,23
0021100019,2011-12-27,1610612748,MIA,115,42,75,6,10,25,35,6,32,22,16,8,20,22,1610612738,BOS,107,37,72,12,19,21,27,4,24,20,9,3,24,27
0021100023,2011-12-28,1610612761,TOR,85,36,79,6,15,7,13,10,29,21,13,5,19,25,1610612754,IND,90,32,81,7,16,19,22,12,29,20,10,2,16,16
0021100032,2011-12-28,1610612744,GSW,92,35,77,6,16,16,24,11,36,20,12,4,14,17,1610612752,NYK,78,28,70,4,21,18,25,4,27,15,7,0,15,21
0021100031,2011-12-28,1610612756,PHX,83,33,80,2,11,15,18,8,31,15,3,3,12,17,1610612755,PHI,103,41,86,7,17,14,18,12,36,22,11,2,10,19
0021100030,2011-12-28,1610612743,DEN,117,46,86,6,19,19,26,12,33,29,17,3,18,20,1610612762,UTA,100,38,79,7,16,17,25,8,31,25,10,3,22,23
0021100028,2011-12-28,1610612740,NOH,97,36,79,4,12,21,25,12,36,16,7,12,9,20,1610612738,BOS,78,29,78,7,17,13,18,13,24,16,4,12,12,22
0021100029,2011-12-28,1610612759,SAS,115,45,80,10,19,15,15,7,36,27,3,1,15,23,1610612746,LAC,90,29,74,7,20,25,33,10,20,17,8,5,12,17
0021100026,2011-12-28,1610612765,DET,89,36,81,9,21,8,11,10,16,16,11,1,16,21,1610612739,CLE,105,40,70,7,12,18,22,12,28,28,9,3,21,15
0021100027,2011-12-28,1610612763,MEM,95,34,87,2,16,25,33,19,30,13,5,6,12,22,1610612760,OKC,98,29,77,10,25,30,38,12,29,16,4,8,10,24
0021100024,2011-12-28,1610612766,CHA,95,39,82,7,18,10,16,15,38,22,5,9,21,22,1610612748,MIA,96,36,78,1,6,23,28,5,25,19,7,10,10,17
0021100025,2011-12-28,1610612737,ATL,101,32,75,9,23,28,35,11,34,21,6,5,14,21,1610612764,WAS,83,30,77,6,16,17,22,6,26,16,10,3,16,24
0021100038,2011-12-29,1610612747,LAL,99,38,73,9,16,14,22,6,34,23,6,7,14,28,1610612752,NYK,82,21,67,6,22,34,41,9,23,15,11,6,12,20
0021100037,2011-12-29,1610612757,POR,111,41,79,8,20,21,23,7,43,20,3,9,25,25,1610612743,DEN,102,35,87,4,20,28,33,3,27,17,16,2,7,20
0021100036,2011-12-29,1610612758,SAC,98,35,83,8,17,20,34,18,24,13,8,2,14,19,1610612741,CHI,108,43,80,6,12,16,21,8,33,25,6,5,18,27
0021100035,2011-12-29,1610612760,OKC,104,37,63,6,14,24,32,6,32,19,8,8,26,19,1610612742,DAL,102,38,90,9,26,17,21,14,24,25,14,1,12,24
0021100034,2011-12-29,1610612745,HOU,105,43,85,9,26,10,13,13,33,21,7,8,11,17,1610612759,SAS,85,35,93,2,17,13,20,22,24,12,4,7,12,10
